claim_id,location,claim_type,quantity,value_paper,digits,operator,mode,needs_block,notes
figure_6_democrats_ipw_direction_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW, Direction, se",0.029,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_accuracy_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW, Accuracy, estimate",0.061,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_accuracy_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW, Accuracy, se",0.025,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_lottery_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Lottery, estimate",0.053,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_lottery_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Lottery, se",0.025,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_google_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Google, estimate",0.050,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_google_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Google, se",0.036,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_extra_time_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Extra Time, estimate",-0.041,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_extra_time_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Extra Time, se",0.112,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_direction_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Direction, estimate",0.013,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_direction_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Direction, se",0.026,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_accuracy_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Accuracy, estimate",0.042,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_democrats_ipw_adjusted_accuracy_se,"Figure 6, p. 842",pipeline,"Figure 6, Democrats, IPW-Adjusted, Accuracy, se",0.025,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_lottery_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Lottery, estimate",0.041,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_lottery_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Lottery, se",0.017,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_google_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Google, estimate",-0.037,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_google_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Google, se",0.059,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_extra_time_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Extra Time, estimate",-0.059,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_extra_time_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Extra Time, se",0.081,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_direction_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Direction, estimate",-0.052,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_direction_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Direction, se",0.052,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_accuracy_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Accuracy, estimate",-0.053,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_accuracy_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW, Accuracy, se",0.050,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_lottery_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Lottery, estimate",0.039,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_lottery_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Lottery, se",0.017,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_google_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Google, estimate",-0.071,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_google_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Google, se",0.052,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_extra_time_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Extra Time, estimate",-0.049,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_extra_time_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Extra Time, se",0.093,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_direction_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Direction, estimate",-0.040,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_direction_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Direction, se",0.040,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_accuracy_estimate,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Accuracy, estimate",-0.082,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_6_republicans_ipw_adjusted_accuracy_se,"Figure 6, p. 842",pipeline,"Figure 6, Republicans, IPW-Adjusted, Accuracy, se",0.048,3,,,TRUE,Read off a rendered page; the published figure has no text layer.
figure_f6_democrats_lottery_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Lottery, estimate",0.009,3,,,TRUE,
figure_f6_democrats_lottery_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Lottery, se",0.016,3,,,TRUE,
figure_f6_republicans_lottery_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Lottery, estimate",-0.022,3,,,TRUE,
figure_f6_republicans_lottery_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Lottery, se",0.011,3,,,TRUE,
figure_f6_democrats_google_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Google, estimate",-0.048,3,,,TRUE,
figure_f6_democrats_google_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Google, se",0.030,3,,,TRUE,
figure_f6_republicans_google_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Google, estimate",-0.050,3,,,TRUE,
figure_f6_republicans_google_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Google, se",0.064,3,,,TRUE,
figure_f6_democrats_extra_time_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Extra Time, estimate",-0.321,3,,,TRUE,
figure_f6_democrats_extra_time_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Extra Time, se",0.131,3,,,TRUE,
figure_f6_republicans_extra_time_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Extra Time, estimate",-0.234,3,,,TRUE,
figure_f6_republicans_extra_time_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Extra Time, se",0.131,3,,,TRUE,
figure_f6_democrats_direction_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Direction, estimate",-0.008,3,,,TRUE,
figure_f6_democrats_direction_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Direction, se",0.024,3,,,TRUE,
figure_f6_republicans_direction_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Direction, estimate",-0.013,3,,,TRUE,
figure_f6_republicans_direction_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Direction, se",0.020,3,,,TRUE,
figure_f6_democrats_accuracy_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Accuracy, estimate",0.002,3,,,TRUE,
figure_f6_democrats_accuracy_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Democrats, Accuracy, se",0.017,3,,,TRUE,
figure_f6_republicans_accuracy_estimate,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Accuracy, estimate",-0.034,3,,,TRUE,
figure_f6_republicans_accuracy_se,"Figure F.6, p. 34",pipeline,"Figure F.6, Republicans, Accuracy, se",0.037,3,,,TRUE,
figure_f7_ipw_lottery_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Lottery, estimate",-0.006,3,,,TRUE,
figure_f7_ipw_lottery_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Lottery, se",0.038,3,,,TRUE,
figure_f7_ipw_adjusted_lottery_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Lottery, estimate",-0.003,3,,,TRUE,
figure_f7_ipw_adjusted_lottery_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Lottery, se",0.040,3,,,TRUE,
figure_f7_ipw_google_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Google, estimate",-0.054,3,,,TRUE,
figure_f7_ipw_google_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Google, se",0.083,3,,,TRUE,
figure_f7_ipw_adjusted_google_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Google, estimate",-0.004,3,,,TRUE,
figure_f7_ipw_adjusted_google_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Google, se",0.076,3,,,TRUE,
figure_f7_ipw_extra_time_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Extra Time, estimate",-0.065,3,,,TRUE,
figure_f7_ipw_extra_time_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Extra Time, se",0.161,3,,,TRUE,
figure_f7_ipw_adjusted_extra_time_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Extra Time, estimate",-0.132,3,,,TRUE,
figure_f7_ipw_adjusted_extra_time_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Extra Time, se",0.141,3,,,TRUE,
figure_f7_ipw_direction_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Direction, estimate",-0.211,3,,,TRUE,
figure_f7_ipw_direction_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Direction, se",0.122,3,,,TRUE,
figure_f7_ipw_adjusted_direction_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Direction, estimate",-0.168,3,,,TRUE,
figure_f7_ipw_adjusted_direction_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Direction, se",0.116,3,,,TRUE,
figure_f7_ipw_accuracy_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Accuracy, estimate",0.040,3,,,TRUE,
figure_f7_ipw_accuracy_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW, Accuracy, se",0.033,3,,,TRUE,
figure_f7_ipw_adjusted_accuracy_estimate,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Accuracy, estimate",0.036,3,,,TRUE,
figure_f7_ipw_adjusted_accuracy_se,"Figure F.7, p. 35",pipeline,"Figure F.7, independents, IPW-Adjusted, Accuracy, se",0.031,3,,,TRUE,
figure_f8_democrats_ipw_lottery_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Lottery, estimate",0.071,3,,,TRUE,
figure_f8_democrats_ipw_lottery_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Lottery, se",0.026,3,,,TRUE,
figure_f8_republicans_ipw_lottery_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Lottery, estimate",0.041,3,,,TRUE,
figure_f8_republicans_ipw_lottery_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Lottery, se",0.017,3,,,TRUE,
figure_f8_democrats_static_lottery_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Lottery, estimate",0.071,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_static_lottery_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Lottery, se",0.027,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_lottery_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Lottery, estimate",0.040,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_lottery_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Lottery, se",0.025,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_ipw_google_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Google, estimate",0.054,3,,,TRUE,
figure_f8_democrats_ipw_google_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Google, se",0.033,3,,,TRUE,
figure_f8_republicans_ipw_google_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Google, estimate",-0.037,3,,,TRUE,
figure_f8_republicans_ipw_google_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Google, se",0.059,3,,,TRUE,
figure_f8_democrats_static_google_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Google, estimate",0.054,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_static_google_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Google, se",0.026,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_google_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Google, estimate",-0.038,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_google_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Google, se",0.022,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_ipw_extra_time_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Extra Time, estimate",-0.009,3,,,TRUE,
figure_f8_democrats_ipw_extra_time_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Extra Time, se",0.133,3,,,TRUE,
figure_f8_republicans_ipw_extra_time_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Extra Time, estimate",-0.059,3,,,TRUE,
figure_f8_republicans_ipw_extra_time_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Extra Time, se",0.081,3,,,TRUE,
figure_f8_democrats_static_extra_time_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Extra Time, estimate",-0.009,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_static_extra_time_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Extra Time, se",0.031,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_extra_time_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Extra Time, estimate",-0.060,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_extra_time_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Extra Time, se",0.026,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_ipw_direction_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Direction, estimate",0.033,3,,,TRUE,
figure_f8_democrats_ipw_direction_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Direction, se",0.029,3,,,TRUE,
figure_f8_republicans_ipw_direction_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Direction, estimate",-0.052,3,,,TRUE,
figure_f8_republicans_ipw_direction_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Direction, se",0.052,3,,,TRUE,
figure_f8_democrats_static_direction_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Direction, estimate",0.033,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_static_direction_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Direction, se",0.027,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_direction_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Direction, estimate",-0.052,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_direction_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Direction, se",0.024,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_ipw_accuracy_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Accuracy, estimate",0.061,3,,,TRUE,
figure_f8_democrats_ipw_accuracy_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, IPW, Accuracy, se",0.025,3,,,TRUE,
figure_f8_republicans_ipw_accuracy_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Accuracy, estimate",-0.053,3,,,TRUE,
figure_f8_republicans_ipw_accuracy_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, IPW, Accuracy, se",0.050,3,,,TRUE,
figure_f8_democrats_static_accuracy_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Accuracy, estimate",0.061,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_democrats_static_accuracy_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Democrats, Static, Accuracy, se",0.027,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_accuracy_estimate,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Accuracy, estimate",-0.054,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
figure_f8_republicans_static_accuracy_se,"Figure F.8, p. 36",pipeline,"Figure F.8, Republicans, Static, Accuracy, se",0.023,3,,unseeded,TRUE,"A 1,000-replicate bootstrap whose resampling order the deposit does not pin down."
